timestamp,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10516.0,95.5,7000000,7.86141783717016e-06,0.5333152534595392,95.5
100,10515.0,94.5,6999900,7.813060243285837e-06,0.5316409196747997,94.5
200,10515.0,94.5,6999800,7.81311648983886e-06,0.5316409183668371,94.5
300,10517.0,95.5,6999700,7.820075916350161e-06,0.535274630671124,95.5
400,10519.5,97.5,6999600,7.879505761161093e-06,0.539600274644042,97.5
500,10517.5,96.5,6999500,7.886409904745387e-06,0.5359539268372296,96.5
600,10515.5,95.5,6999400,7.882412875011993e-06,0.5323433194397551,95.5
700,10516.0,95.5,6999300,7.861814022618226e-06,0.5333152436614302,95.5
800,10515.5,95.5,6999200,7.882526369830274e-06,0.5323433167721956,95.5
900,10517.0,95.0,6999100,7.775188060132934e-06,0.5354315796966046,95.0
1000,10516.0,95.5,6999000,7.861983834561592e-06,0.5333152394621397,95.5
1100,10517.5,96.5,6998900,7.886747939393756e-06,0.5359539268380121,96.5
1200,10517.0,95.5,6998800,7.820578705235763e-06,0.5352746306722007,95.5
1300,10516.5,95.5,6998700,7.841618206197637e-06,0.5342916940389082,95.5
1400,10517.5,96.5,6998600,7.886916973019147e-06,0.535953926838403,96.5
1500,10517.5,96.5,6998500,7.886973319976027e-06,0.535953926838534,96.5
1600,10516.0,95.5,6998400,7.862323491177881e-06,0.5333152310633787,95.5
1700,10516.5,95.5,6998300,7.84184407581039e-06,0.5342916881719134,95.5
1800,10515.0,94.5,6998200,7.814016598524088e-06,0.5316408974385395,94.5
1900,10514.5,94.5,6998100,7.834927540166994e-06,0.5306662652896593,94.5
2000,10515.0,94.5,6998000,7.814129133799238e-06,0.5316408948223827,94.5
2100,10514.0,94.5,6997900,7.856009292685223e-06,0.5296963293831802,94.5
2200,10512.0,93.5,6997800,7.900992250075493e-06,0.5259525298944322,93.5
2300,10510.5,92.5,6997700,7.875664519980844e-06,0.5232818680978832,92.5
2400,10509.0,91.5,6997600,7.85108111651184e-06,0.5205914079137114,91.5
