timestamp,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10516.0,1016.0,7000000,1e-07,1.0,1016.0
100,10515.0,1015.5,6999900,1.4539731473968159e-05,0.9960704129935992,1015.5
200,10515.0,1015.5,6999800,1.4539832666403685e-05,0.9960704185929373,1015.5
300,10517.0,1017.5,6999700,1.4563463749754213e-05,0.9960786208547827,1017.5
400,10519.5,1019.5,6999600,1e-07,1.0,1019.5
500,10517.5,1017.5,6999500,1e-07,1.0,1017.5
600,10515.5,1015.5,6999400,1e-07,1.0,1015.5
700,10516.0,1016.5,6999300,1.4552109550649707e-05,0.9960745395729657,1016.5
800,10515.5,1015.5,6999200,1e-07,1.0,1015.5
900,10517.0,1016.0,6999100,,,1016.0
1000,10516.0,1016.5,6999000,1.4552413189494174e-05,0.9960745568400265,1016.5
1100,10517.5,1017.5,6998900,1e-07,1.0,1017.5
1200,10517.0,1017.5,6998800,1.4564374724849884e-05,0.9960786739911861,1017.5
1300,10516.5,1017.0,6998700,1.4558597887275125e-05,0.9960766255033472,1017.0
1400,10517.5,1017.5,6998600,1e-07,1.0,1017.5
1500,10517.5,1017.5,6998500,1e-07,1.0,1017.5
1600,10516.0,1016.5,6998400,1.4553020509896962e-05,0.9960745914083686,1016.5
1700,10516.5,1016.5,6998300,1e-07,1.0,1016.5
1800,10515.0,1015.0,6998200,1e-07,1.0,1015.0
1900,10514.5,1014.5,6998100,1e-07,1.0,1014.5
2000,10515.0,1014.5,6998000,,,1014.5
2100,10514.0,1014.5,6997900,1.4529972891000027e-05,0.9960664418885842,1014.5
2200,10512.0,1012.5,6997800,1.4506474095476947e-05,0.9960583145436716,1012.5
2300,10510.5,1010.5,6997700,1e-07,1.0,1010.5
2400,10509.0,1009.5,6997600,1.4471192334036844e-05,0.9960462063893387,1009.5
2500,10512.5,1012.5,6997500,1e-07,1.0,1012.5
2600,10510.5,1010.5,6997400,1e-07,1.0,1010.5
2700,10509.0,1009.5,6997300,1.4471495778616266e-05,0.9960462207444339,1009.5
2800,10508.5,1008.5,6997200,1e-07,1.0,1008.5
2900,10505.0,1005.5,6997100,1.4424234948377103e-05,0.9960302109974221,1005.5
3000,10505.0,1005.5,6997000,1.4424336022372712e-05,0.996030215266415,1005.5
3100,10505.5,1006.0,6996900,1.443037913910451e-05,0.996032213734779,1006.0
3200,10506.0,1006.5,6996800,1.4436419709265393e-05,0.9960342146494949,1006.5
3300,10505.0,1005.5,6996700,1.4424639254464638e-05,0.9960302280797407,1005.5
3400,10506.0,1006.5,6996600,1.4436621913260415e-05,0.9960342234488211,1006.5
3500,10507.5,1007.5,6996500,1e-07,1.0,1007.5
3600,10506.5,1006.5,6996400,1e-07,1.0,1006.5
3700,10506.5,1007.0,6996300,1.4442862176545496e-05,0.996036235910194,1007.0
3800,10508.5,1008.5,6996200,1e-07,1.0,1008.5
3900,10507.0,1007.5,6996100,1.444899877332922e-05,0.996038246621406,1007.5
