timestamp,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10516.0,279.5,7000000,8.257823815959734e-06,0.8817088768078312,279.5
100,10515.0,278.5,6999900,8.236621505127648e-06,0.8814383429373566,278.5
200,10515.0,278.5,6999800,8.236680652932748e-06,0.8814383341819527,278.5
300,10517.0,280.5,6999700,8.279243063723032e-06,0.8819780710739492,280.5
400,10519.5,282.5,6999600,8.235424142790852e-06,0.8853257550983489,282.5
500,10517.5,280.5,6999500,8.193611274907154e-06,0.8847941769418755,280.5
600,10515.5,278.5,6999400,8.151707791721841e-06,0.8842576753706254,278.5
700,10516.0,279.5,6999300,8.258239004162234e-06,0.8817088136823952,279.5
800,10515.5,278.5,6999200,8.15182523885107e-06,0.8842576477799466,278.5
900,10517.0,279.0,6999100,8.029592504839582e-06,0.8889863291696642,279.0
1000,10516.0,279.5,6999000,8.258416960925776e-06,0.8817087866305912,279.5
1100,10517.5,280.5,6998900,8.193965613837334e-06,0.884794089334645,280.5
1200,10517.0,280.5,6998800,8.279778384176567e-06,0.8819779875036784,280.5
1300,10516.5,279.5,6998700,8.173112572675926e-06,0.8845264407094182,279.5
1400,10517.5,280.5,6998600,8.19414280024627e-06,0.884794045533638,280.5
1500,10517.5,280.5,6998500,8.194201864892726e-06,0.8847940309336987,280.5
1600,10516.0,279.5,6998400,8.2587729085929e-06,0.8817087325304709,279.5
1700,10516.5,279.5,6998300,8.173348169922974e-06,0.8845263839374247,279.5
1800,10515.0,278.5,6998200,8.237627189318065e-06,0.8814381941123667,278.5
1900,10514.5,277.5,6998100,8.1314540286426e-06,0.883987382603507,277.5
2000,10515.0,278.5,6998000,8.237745529069454e-06,0.8814381766059285,278.5
2100,10514.0,277.5,6997900,8.216519166909433e-06,0.8811663332325819,277.5
2200,10512.0,275.5,6997800,8.173944610499481e-06,0.8806186623180189,275.5
2300,10510.5,274.5,6997700,8.233714702967851e-06,0.8776150814988988,274.5
2400,10509.0,273.5,6997600,8.290673314976167e-06,0.8746821031726297,273.5
2500,10512.5,276.5,6997500,8.276943416973269e-06,0.8781710566989116,276.5
2600,10510.5,274.0,6997400,8.142148656483234e-06,0.8802043416005286,274.0
2700,10509.0,272.5,6997300,8.11012922938098e-06,0.8797869607455808,272.5
2800,10508.5,272.5,6997200,8.190819658647216e-06,0.8770534144284114,272.5
2900,10505.0,269.5,6997100,8.203696396539192e-06,0.8735330811930035,269.5
3000,10505.0,269.5,6997000,8.203755112027796e-06,0.8735330785616535,269.5
3100,10505.5,269.5,6996900,8.126061273357517e-06,0.8762000965653574,269.5
3200,10506.0,270.5,6996800,8.22571998132237e-06,0.8738225745177495,270.5
3300,10505.0,269.5,6996700,8.203931266032248e-06,0.8735330706678874,269.5
3400,10506.0,270.5,6996600,8.225837740342102e-06,0.8738225690737227,270.5
3500,10507.5,271.5,6996500,8.169604835682743e-06,0.8767704071553601,271.5
3600,10506.5,270.5,6996400,8.148017769369891e-06,0.8764859732875718,270.5
3700,10506.5,270.5,6996300,8.148076151483637e-06,0.8764859689779685,270.5
3800,10508.5,272.5,6996200,8.191406640296507e-06,0.8770533684275077,272.5
3900,10507.0,271.5,6996100,8.247961648463687e-06,0.8741105470146747,271.5
4000,10508.0,272.5,6996000,8.269831336490245e-06,0.874397040423676,272.5
4100,10508.0,271.5,6995900,8.089530613720524e-06,0.8795068776093367,271.5
4200,10510.0,273.5,6995800,8.132395386548764e-06,0.8800654416921492,273.5
4300,10507.5,272.0,6995700,8.259105777476034e-06,0.8742539697736952,272.0
4400,10508.0,271.5,6995600,8.08970481000731e-06,0.8795068564263757,271.5
4500,10507.0,270.5,6995500,8.068327632879724e-06,0.8792254652535152,270.5
4600,10506.0,270.5,6995400,8.226544400330987e-06,0.8738225364129926,270.5
4700,10506.5,270.5,6995300,8.148660041293162e-06,0.876485925885367,270.5
4800,10505.5,270.0,6995200,8.215739586685314e-06,0.8736779705885698,270.0
4900,10503.0,267.5,6995100,8.160675996536048e-06,0.8729619265076662,267.5
5000,10504.0,268.5,6995000,8.183060257293317e-06,0.8732420033173491,268.5
5100,10503.0,267.5,6994900,8.16079284562825e-06,0.8729619212600168,267.5
5200,10502.5,267.5,6994800,8.248191528179499e-06,0.8700177746227378,267.5
5300,10505.5,269.5,6994700,8.1273423060351e-06,0.8762000048407461,269.5
5400,10506.0,270.5,6994600,8.227015607845006e-06,0.873822514642461,270.5
5500,10510.0,273.5,6994500,8.133154541006663e-06,0.8800653439719325,273.5
5600,10512.0,275.5,6994400,8.175940701575495e-06,0.8806183904814175,275.5
5700,10509.5,273.5,6994300,8.214131771585805e-06,0.8773348118014371,273.5
5800,10512.5,275.5,6994200,8.09162404307889e-06,0.8834428543450854,275.5
5900,10513.0,276.5,6994100,8.197450054324084e-06,0.8808928583039459,276.5
6000,10514.0,277.5,6994000,8.218821521137438e-06,0.8811660019916181,277.5
6100,10515.0,278.5,6993900,8.240172606606805e-06,0.8814378178339455,278.5
6200,10514.5,277.5,6993800,8.13397381940256e-06,0.8839868064844953,277.5
6300,10513.5,277.5,6993700,8.300730989755008e-06,0.8784467547974322,277.5
6400,10511.0,274.5,6993600,8.155055822104328e-06,0.8803424838370133,274.5
6500,10512.0,275.5,6993500,8.17646932111217e-06,0.8806183185462029,275.5
6600,10509.0,273.0,6993400,8.203858798198089e-06,0.8771941836672978,273.0
6700,10511.0,274.5,6993300,8.155231561177235e-06,0.8803424605836757,274.5
6800,10512.0,275.5,6993200,8.176645550193733e-06,0.8806182945698005,275.5
6900,10515.5,278.5,6993100,8.155409777270634e-06,0.8842568066093552,278.5
7000,10515.0,278.5,6993000,8.240705663894515e-06,0.8814377391072692,278.5
