time,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10503.0,273.5,7000000,9.141884037467482e-06,0.8461832114482889,273.5
100,10510.0,279.5,6999900,9.11954894419673e-06,0.8532007329964939,279.5
200,10513.0,282.5,6999800,9.192453065294057e-06,0.854027639766781,282.5
300,10517.5,285.5,6999700,9.063835542249219e-06,0.861333564519578,285.5
400,10509.5,279.5,6999600,9.226709171136751e-06,0.8499961646692958,279.5
500,10506.0,276.5,6999500,9.21386667285551e-06,0.8471226492216424,276.5
600,10503.5,273.5,6999400,9.082826827095748e-06,0.8481898445363434,273.5
700,10503.0,273.5,6999300,9.142339001839465e-06,0.8461832673453966,273.5
800,10497.5,268.5,6999200,9.062027076241757e-06,0.8430776572550006,268.5
900,10495.5,266.5,6999100,9.015971418596454e-06,0.8423658963438625,266.5
1000,10499.0,269.5,6999000,9.017042222185107e-06,0.8456839621185254,269.5
1100,10501.0,271.5,6998900,9.062472440689313e-06,0.8463880613917389,271.5
1200,10504.5,274.5,6998800,9.10719640650228e-06,0.8484965973655758,274.5
1300,10510.0,279.5,6998700,9.120326144888835e-06,0.8532008515930083,279.5
1400,10510.0,279.5,6998600,9.12039092065389e-06,0.8532008614760478,279.5
1500,10504.5,274.5,6998500,9.107390275871385e-06,0.8484966317038842,274.5
1600,10504.5,274.5,6998400,9.107454901769115e-06,0.8484966431500347,274.5
1700,10499.0,269.5,6998300,9.017495634001565e-06,0.8456838976375447,269.5
1800,10497.5,268.5,6998200,9.06267711813826e-06,0.8430775892079252,268.5
1900,10493.5,264.5,6998100,8.97035447743729e-06,0.8416480658583527,264.5
2000,10493.0,264.5,6998000,9.035588208164365e-06,0.8394526968827885,264.5
2100,10488.5,260.5,6997900,9.004904213554675e-06,0.835841759758107,260.5
2200,10485.5,258.5,6997800,9.080012164211632e-06,0.830897917119338,258.5
2300,10491.5,263.5,6997700,9.075965811659466e-06,0.8369425505228373,263.5
2400,10486.0,258.5,6997600,9.01910799016195e-06,0.8329872420095457,258.5
2500,10480.5,254.5,6997500,9.11354326391894e-06,0.824982101266109,254.5
2600,10475.0,249.5,6997400,9.013475520068403e-06,0.8218972446258638,249.5
2700,10464.5,241.5,6997300,9.10859183049376e-06,0.8082917170835283,241.5
2800,10472.5,247.5,6997200,9.027841116186373e-06,0.8189068423399994,247.5
2900,10473.0,248.5,6997100,9.111821958414895e-06,0.8172717867078438,248.5
3000,10478.5,252.5,6997000,9.068388346643224e-06,0.8241068327611302,252.5
3100,10473.5,248.5,6996900,9.051978833136413e-06,0.8193386853206235,248.5
3200,10479.0,253.5,6996800,9.157257463070902e-06,0.8223375949431839,253.5
3300,10479.5,253.5,6996700,9.091367022761658e-06,0.8245448141595093,253.5
3400,10480.0,253.5,6996600,9.022599750579914e-06,0.8268416471533936,253.5
3500,10489.0,261.5,6996500,9.091561623129962e-06,0.8341008770756613,261.5
3600,10484.0,257.5,6996400,9.116747208153397e-06,0.8284652642044292,257.5
3700,10483.0,256.5,6996300,9.09261165679316e-06,0.828081496715794,256.5
3800,10483.5,256.5,6996200,9.032998839357017e-06,0.8301360036600143,256.5
3900,10482.0,255.5,6996100,9.068511735610564e-06,0.8276958231184887,255.5
4000,10475.5,250.5,6996000,9.100266719947917e-06,0.8201982482296155,250.5
4100,10472.5,247.5,6995900,9.028682128350467e-06,0.8189067838288193,247.5
4200,10466.5,242.0,6995800,8.95416861496922e-06,0.8144460207442346,242.0
4300,10464.5,241.5,6995700,9.109634103950145e-06,0.8082916990283935,241.5
4400,10458.5,236.5,6995600,9.08979607108722e-06,0.8022314068954248,236.5
4500,10458.0,235.5,6995500,9.011494388829626e-06,0.8036671370629597,235.5
4600,10451.5,230.5,6995400,9.020572199061679e-06,0.7961374713871523,230.5
4700,10457.5,235.5,6995300,9.064362300585317e-06,0.8017711000191312,235.5
4800,10464.0,240.5,6995200,9.029975593274243e-06,0.8097908132875304,240.5
4900,10464.5,240.5,6995100,8.974381070122767e-06,0.8117682106113588,240.5
5000,10462.5,239.5,6995000,9.059697929829519e-06,0.8074001941631734,239.5
5100,10453.0,231.5,6994900,9.00469845488178e-06,0.7982469197776845,231.5
5200,10455.0,233.5,6994800,9.060575970099124e-06,0.7990859293780661,233.5
5300,10451.0,229.5,6994700,8.949199598751673e-06,0.7973903928556523,229.5
5400,10450.0,229.5,6994600,9.088526410227412e-06,0.7927404610209652,229.5
5500,10441.0,221.5,6994500,8.962566653084925e-06,0.785456481673082,221.5
5600,10445.5,225.5,6994400,9.025135020178678e-06,0.7891559828427539,225.5
5700,10444.0,224.5,6994300,9.044315893868389e-06,0.7869387217282793,224.5
5800,10439.5,220.5,6994200,8.982160878368295e-06,0.7832010686089567,220.5
5900,10431.5,214.5,6994100,8.996525954193792e-06,0.7732588286176443,214.5
6000,10445.0,225.0,6994000,9.011761169474971e-06,0.7889163701361415,225.0
6100,10440.5,221.5,6993900,9.00955521204785e-06,0.7837079966235588,221.5
6200,10447.0,226.5,6993800,9.006862373471142e-06,0.7913572855646225,226.5
6300,10440.5,221.5,6993700,9.009683873473104e-06,0.7837080006236153,221.5
6400,10442.5,222.5,6993600,8.943889203120121e-06,0.7877039335041462,222.5
6500,10443.5,223.5,6993500,8.971199659551822e-06,0.7881917820138166,223.5
6600,10440.0,220.5,6993400,8.936060379891397e-06,0.7849549943037484,220.5
6700,10426.0,209.5,6993300,8.907866612930107e-06,0.7686783682302375,209.5
6800,10432.5,214.5,6993200,8.901394128232815e-06,0.7768207836545618,214.5
6900,10433.0,215.5,6993100,8.976428737651474e-06,0.7755818316574419,215.5
7000,10431.5,214.5,6993000,8.997233925640996e-06,0.7732588183678164,214.5
7100,10435.0,216.5,6992900,8.906013010881286e-06,0.7797375314715393,216.5
7200,10438.5,219.5,6992800,8.955847822520803e-06,0.7826905256545866,219.5
7300,10437.0,218.5,6992700,8.959009795589604e-06,0.7808254839541704,218.5
7400,10438.5,219.5,6992600,8.955975754185228e-06,0.782690529223546,219.5
7500,10441.5,221.5,6992500,8.917348092035903e-06,0.7872122945369252,221.5
7600,10441.5,221.5,6992400,8.917411738673957e-06,0.787212297501148,221.5
7700,10436.0,217.5,6992300,8.932856134989022e-06,0.7802828965587321,217.5
