time,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10503.0,754.5,7000000,1.259837624300799e-05,0.9877295353044959,754.5
100,10510.0,761.5,6999900,1.2692765578119112e-05,0.9878368527849786,761.5
200,10513.0,764.5,6999800,1.273363459763357e-05,0.9878800048311991,764.5
300,10517.5,768.5,6999700,1.213491218685196e-05,0.991254068729739,768.5
400,10509.5,760.5,6999600,1.2021586242421536e-05,0.9912111014908918,760.5
500,10506.0,757.0,6999500,1.1969887726412518e-05,0.9912019752036693,757.0
600,10503.5,754.5,6999400,1.1946513116204537e-05,0.9911319182822732,754.5
700,10503.0,753.5,6999300,1.1030992959125589e-05,0.9948223463279149,753.5
800,10497.5,747.5,6999200,1e-07,1.0,747.5
900,10495.5,746.5,6999100,1.1839948864176638e-05,0.9910544392660057,746.5
1000,10499.0,750.5,6999000,1.254610767030315e-05,0.9876628831735487,750.5
1100,10501.0,751.5,6998900,1.1007933252110382e-05,0.9948050579984085,751.5
1200,10504.5,755.5,6998800,1.1960395408667637e-05,0.991141356575043,755.5
1300,10510.0,760.5,6998700,1.1113407949532243e-05,0.9948813245652245,760.5
1400,10510.0,760.5,6998600,1.111348344747186e-05,0.9948813377142729,760.5
1500,10504.5,755.5,6998500,1.1960653621276505e-05,0.9911413478232959,755.5
1600,10504.5,755.5,6998400,1.1960739696211144e-05,0.9911413449042434,755.5
1700,10499.0,749.5,6998300,1.0985034025894904e-05,0.9947876109647101,749.5
1800,10497.5,748.5,6998200,1.186740142143365e-05,0.9910741053761332,748.5
1900,10493.5,744.0,6998100,1.0871004191935554e-05,0.9949120142963316,744.0
2000,10493.0,743.5,6998000,1.0865240841081468e-05,0.9949077276841952,743.5
2100,10488.5,739.5,6997900,1.174766354976334e-05,0.9909838211708145,739.5
2200,10485.5,736.5,6997800,1.1707811697106577e-05,0.9909527224015295,736.5
2300,10491.5,742.5,6997700,1.1787798713679977e-05,0.9910144114457637,742.5
2400,10486.0,737.0,6997600,1.1714632803581052e-05,0.9909579416551685,737.0
2500,10480.5,731.5,6997500,1.1641565632424319e-05,0.9908997651384348,731.5
2600,10475.0,726.0,6997400,1.1568582310547307e-05,0.9908399054401655,726.0
2700,10464.5,715.5,6997300,1.142931390220798e-05,0.990721255016695,715.5
2800,10472.5,724.0,6997200,1.216662793486175e-05,0.9873660016914433,724.0
2900,10473.0,723.5,6997100,1.0630480007757353e-05,0.9947352242518559,723.5
3000,10478.5,729.5,6997000,1.1615400769844269e-05,0.9908781981830895,729.5
3100,10473.5,724.5,6996900,1.1549076958731421e-05,0.9908233087585684,724.5
3200,10479.0,730.0,6996800,1.1622210018924782e-05,0.9908836158579344,730.0
3300,10479.5,730.5,6996700,1.1628937421459137e-05,0.990889017738019,730.5
3400,10480.0,730.5,6996600,1.071385880247863e-05,0.994795171372424,730.5
3500,10489.0,740.5,6996500,1.2419181676107476e-05,0.9874700389728676,740.5
3600,10484.0,735.5,6996400,1.2307776368829144e-05,0.9876425992228176,735.5
3700,10483.0,733.5,6996300,1.0749405486317012e-05,0.9948212283249359,733.5
3800,10483.5,734.5,6996200,1.1682537294832125e-05,0.9909317206079007,734.5
3900,10482.0,733.0,6996100,1.1662670094156603e-05,0.9909158164211664,733.0
4000,10475.5,726.5,6996000,1.157637341229474e-05,0.9908454474926649,726.5
4100,10472.5,723.5,6995900,1.153662055537373e-05,0.9908121983568645,723.5
4200,10466.5,717.0,6995800,1.0553396656268892e-05,0.9946816017287495,717.0
4300,10464.5,715.5,6995700,1.1430608730852701e-05,0.9907213164674694,715.5
4400,10458.5,709.5,6995600,1.1351050995161793e-05,0.9906512666606418,709.5
4500,10458.0,708.5,6995500,1.0449838853988153e-05,0.9946155285097377,708.5
4600,10451.5,702.5,6995400,1.1258200242649716e-05,0.9905679013312791,702.5
