time,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10503.0,1003.5,7000000,1.4397512545683282e-05,0.9960221410236818,1003.5
100,10510.0,1010.5,6999900,1.4480705078170989e-05,0.996050122546647,1010.5
200,10513.0,1013.5,6999800,1.4516256071080987e-05,0.9960622688877903,1013.5
300,10517.5,1018.0,6999700,1.4569338780640037e-05,0.9960806775410024,1018.0
400,10509.5,1010.0,6999600,1.4475090461518973e-05,0.9960481228050017,1010.0
500,10506.0,1006.5,6999500,1.443369061094326e-05,0.996034096280365,1006.5
600,10503.5,1004.5,6999400,1.5564177456482193e-05,0.9930384025322964,1004.5
700,10503.0,1003.5,6999300,1.4398219416856202e-05,0.9960221689907113,1003.5
800,10497.5,997.5,6999200,1e-07,1.0,997.5
900,10495.5,995.5,6999100,1e-07,1.0,995.5
1000,10499.0,999.5,6999000,1.4350820114727206e-05,0.9960063832771173,999.5
1100,10501.0,1001.5,6998900,1.437479134430262e-05,0.9960142698771961,1001.5
1200,10504.5,1005.5,6998800,1.5577563467008875e-05,0.9930449121590009,1005.5
1300,10510.0,1010.5,6998700,1.4481918696700129e-05,0.996050181336343,1010.5
1400,10510.0,1010.0,6998600,1e-07,1.0,1010.0
1500,10504.5,1004.5,6998500,1e-07,1.0,1004.5
1600,10504.5,1005.0,6998400,1.441697672084339e-05,0.9960281646220152,1005.0
1700,10499.0,999.5,6998300,1.4351526319491137e-05,0.9960064080468176,999.5
1800,10497.5,997.5,6998200,1e-07,1.0,997.5
1900,10493.5,993.5,6998100,1e-07,1.0,993.5
2000,10493.0,993.5,6998000,1.427999809095561e-05,0.9959829342283171,993.5
2100,10488.5,988.5,6997900,1e-07,1.0,988.5
2200,10485.5,985.5,6997800,1e-07,1.0,985.5
2300,10491.5,991.5,6997700,1e-07,1.0,991.5
2400,10486.0,986.5,6997600,1.4200987399185916e-05,0.9959452994870391,986.5
2500,10480.5,980.5,6997500,1e-07,1.0,980.5
2600,10475.0,975.5,6997400,1.4081044260208135e-05,0.9958739008333753,975.5
2700,10464.5,965.0,6997300,1.3913435635211112e-05,0.9959241197347111,965.0
2800,10472.5,972.5,6997200,1e-07,1.0,972.5
2900,10473.0,973.5,6997100,1.405912241429778e-05,0.9958614872835946,973.5
3000,10478.5,978.5,6997000,1e-07,1.0,978.5
3100,10473.5,973.5,6996900,1e-07,1.0,973.5
3200,10479.0,979.5,6996800,1.4125661375176218e-05,0.9958994518002516,979.5
3300,10479.5,979.5,6996700,1e-07,1.0,979.5
3400,10480.0,980.5,6996600,1.4136791664103975e-05,0.9959059534635352,980.5
3500,10489.0,989.5,6996500,1.423414478276322e-05,0.9959659121660219,989.5
